,CASES,DATE,NIS5,TX_ADM_DSTR_DESCR_FR,TX_ADM_DSTR_DESCR_NL,TX_DESCR_FR,TX_DESCR_NL,TX_PROV_DESCR_FR,TX_PROV_DESCR_NL,TX_RGN_DESCR_FR,TX_RGN_DESCR_NL,lat,lon
0,<5,2020-03-01,21004.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Bruxelles,Brussel,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.85509855840431,4.375478353592151
1,<5,2020-03-01,21009.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Ixelles,Elsene,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.8206837552817,4.375337541177958
2,<5,2020-03-01,21014.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.85371898445173,4.369676841402768
3,<5,2020-03-01,23062.0,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,Overijse,Overijse,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.76820836120552,4.532695331577118
4,<5,2020-03-01,23088.0,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,Vilvorde,Vilvoorde,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.92827875262193,4.424015309287975
5,<5,2020-03-01,23099.0,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,Kraainem,Kraainem,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.842340826230775,4.471010153441258
6,<5,2020-03-01,24045.0,Arrondissement de Louvain,Arrondissement Leuven,Huldenberg,Huldenberg,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.78818326435823,4.605249883346276
7,<5,2020-03-01,24062.0,Arrondissement de Louvain,Arrondissement Leuven,Louvain,Leuven,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.883918722280654,4.705478880658675
8,<5,2020-03-01,44083.0,Arrondissement de Gand,Arrondissement Gent,Deinze,Deinze,Province de Flandre orientale,Provincie Oost-Vlaanderen,Région flamande,Vlaams Gewest,51.01773946396767,3.5315945169266962
9,<5,2020-03-01,61028.0,Arrondissement de Huy,Arrondissement Hoei,Héron,Héron,Province de Liège,Provincie Luik,Région wallonne,Waals Gewest,50.81241925766846,4.416781590046082
10,<5,2020-03-01,71020.0,Arrondissement de Hasselt,Arrondissement Hasselt,Halen,Halen,Province du Limbourg,Provincie Limburg,Région flamande,Vlaams Gewest,50.95413075719772,5.090618941688245
